"","name","RT","MW","m/z","class","origin","tic","exclude","code","sim"
"sy29","Syringolacetic acid","38.78","212","212","sy","L","4.781771452","F","SAc",""
"sy30","Oxo-propenylsyringol","43.06","208","165+208","sy","L","2.963975521","F","S3:1=O",""
"cp11","Acetaldehyde","2.06","44","29+44","cp","C","1.044112118","F","Acetaldehyde",""
"short21","Aceton","2.46","58","43","short","non","1.647243507","F","Aceton",""
"short3","2-Propenal","2.6","56","55+56","short","non","1.754936789","F","2-Propenal",""
"short4","Methanol","2.88","32","29+31+32","short","non","1.360766447","F","Methanol",""
"short5","3-Buten-2-one","3.39","70","55+70","short","non","2.931846536","F","3-Buten-2-one",""
"short6","2,3-Butandione","3.67","86","69+86","short","non","1.575826376","F","2,3-Butandione",""
"short7","3-Penten-2-one","3.89","86","69+86","short","non","3.547527192","F","3-Penten-2-one",""
"short8","2-Butanal","4.56","70","69+70","short","non","0","F","2-Butanal",""
"short9","2,3-Pentadione","4.77","100","57+100","short","non","2.459511326","F","2,3-Pentadione",""
"short10","Hexanal","5.16","82","56+72+82","short","non","2.849030484","F","Hexanal",""
"short11","1-Penten-3-one","11.28","84","55+84","short","non","2.140231388","F","1-Penten-3-one",""
"fa1","Myristic acid (14:0)","2.35","68","39+68","fa","lip","50","F","14:0fa",""
"fa2","Palmitic acid (16:0)","2.74","82","81+82","fa","lip","62.67","F","16.0fa",""
"fa3","Stearuc acid (18:0)","2.91","82","81+82","fa","lip","29.59","F","18:0fa",""
